"","Metric","Algorithm","Score1","Score2","Score3","Score4","Score5","Score6","Score7","Score8","Score9","Score10","mean","sd"
"1","Precision","Mean Binseg",0,0.166666667,0,0,0,0,0.166666667,0,0.166666667,0.5,0.1000000001,0.161015297225887
"2","Recall","Mean Binseg",0,0.5,0,0,0,0,0.333333333,0,0.333333333,0.6,0.1766666666,0.24039576417562
"3","F1","Mean Binseg",0,0.25,0,0,0,0,0.222222222,0,0.222222222,0.545454545,0.1239898989,0.184104783651433
"4","Rand","Mean Binseg",0.584346906,0.87678477,0.928696669,0.73559322,0.905341089,0.736158192,0.834599649,0.868852459,0.939185616,0.798305085,0.8207863655,0.110190905356837
"5","AdjRand","Mean Binseg",0.100269497,0.727378477,0.819906546,0.503863154,0.782728087,0.502540289,0.625980308,0.699871621,0.845868213,0.510612723,0.6119018915,0.222140849596798
"6","Bcubed Precision","Mean Binseg",0.594594595,0.983870968,0.927966102,0.983333333,0.962365591,0.977777778,0.753417168,0.943548387,0.955645161,0.672727273,0.8755246356,0.145340224615241
"7","Bcubed Recall","Mean Binseg",0.584795322,0.677560738,0.770037197,0.564015152,0.744311394,0.654166667,0.837134052,0.678715438,0.798611111,0.889230769,0.719857784,0.106502384066195
"8","Bcubed F-Score","Mean Binseg",0.589654248,0.802479376,0.841657276,0.716858425,0.839408606,0.783886525,0.793072438,0.789515055,0.870099604,0.765974212,0.7792605765,0.0793308208119123
"9","Precision","Mean PELT",0.048387097,0.033898305,0.051724138,0.017241379,0.032258065,0.01754386,0.051724138,0.032258065,0.05,0.083333333,0.041836838,0.0196316951233986
"10","Recall","Mean PELT",1,1,1,1,1,1,1,1,1,1,1,0
"11","F1","Mean PELT",0.092307692,0.06557377,0.098360656,0.033898305,0.0625,0.034482759,0.098360656,0.0625,0.095238095,0.153846154,0.0797068087,0.0357896674574634
"12","Rand","Mean PELT",0.6811211,0.607086198,0.701344243,0.398305085,0.639344262,0.327118644,0.715955582,0.626123744,0.705975674,0.807344633,0.6209719165,0.148154244433329
"13","AdjRand","Mean PELT",0,0.004865842,0.002735198,0.000746372,0,0.001636731,0.002935273,0,0.005045764,0,0.001796518,0.00200539490934656
"14","Bcubed Precision","Mean PELT",1,1,1,1,1,1,1,1,1,1,1,0
"15","Bcubed Recall","Mean PELT",0.064516129,0.05450052,0.06927045,0.034090909,0.048387097,0.035416667,0.069337442,0.048387097,0.068399044,0.1,0.0592305355,0.0195326855457923
"16","Bcubed F-Score","Mean PELT",0.121212121,0.10336746,0.129565817,0.065934066,0.092307692,0.068410463,0.129682997,0.092307692,0.128040257,0.181818182,0.1112646747,0.034487974682478
"17","Precision","Mean SegNeigh",0.4,0.4,0,0.2,0.2,0.2,0.2,0,0.4,0.4,0.24,0.157762127549323
"18","Recall","Mean SegNeigh",0.666666667,1,0,1,0.5,1,0.333333333,0,0.666666667,0.4,0.5566666667,0.381695373377162
"19","F1","Mean SegNeigh",0.5,0.571428571,0,0.333333333,0.285714286,0.333333333,0.25,0,0.5,0.4,0.3173809523,0.195953168421216
"20","Rand","Mean SegNeigh",0.851930196,0.958223162,0.920514319,0.93559322,0.941300899,0.746327684,0.845119813,0.925965098,0.931782126,0.784745763,0.884150228,0.073164057205713
"21","AdjRand","Mean SegNeigh",0.685228297,0.910909287,0.805466429,0.8691606,0.868296668,0.519210875,0.653321966,0.835786141,0.838129718,0.492259321,0.7477769302,0.151097560840475
"22","Bcubed Precision","Mean SegNeigh",0.756503642,1,0.850934376,1,0.975806452,1,0.753417168,0.954301075,0.862007168,0.633660131,0.8786630012,0.129532534604804
"23","Bcubed Recall","Mean SegNeigh",0.916871031,0.881650681,0.818463347,0.875189394,0.828540784,0.665277778,0.867642527,0.785570276,0.909124851,0.910064103,0.8458394772,0.0767956572616098
"24","Bcubed F-Score","Mean SegNeigh",0.829002955,0.937103459,0.834383069,0.933441067,0.896163916,0.798999166,0.806505494,0.861754013,0.88493927,0.747117038,0.8529409447,0.0612059135197958
"25","Precision","MeanVar BinSeg",0,0.25,0,0,0,0,0.333333333,0,0,0.2,0.0783333333,0.130064086694897
"26","Recall","MeanVar BinSeg",0,0.5,0,0,0,0,0.333333333,0,0,0.2,0.1033333333,0.180841653627329
"27","F1","MeanVar BinSeg",0,0.333333333,0,0,0,0,0.333333333,0,0,0.2,0.0866666666,0.144187806073353
"28","Rand","MeanVar BinSeg",0.363828662,0.924907456,0.7106955,0.916384181,0.776837652,0.752542373,0.849795441,0.799048123,0.779481756,0.819774011,0.7693295155,0.157777028449493
"29","AdjRand","MeanVar BinSeg",-0.033083215,0.844343916,0.351202345,0.831326108,0.464020988,0.525490081,0.667534638,0.561286116,0.488322974,0.54185782,0.5242301771,0.250433772630011
"30","Bcubed Precision","MeanVar BinSeg",0.380760369,0.890083632,0.667180277,0.977777778,0.881048387,0.96969697,0.740705303,0.803870968,0.709677419,0.656344086,0.7677145189,0.179626576120479
"31","Bcubed Recall","MeanVar BinSeg",0.838017984,0.888137357,0.682527985,0.808522727,0.548984468,0.679861111,0.935439137,0.753312212,0.779793907,0.855897436,0.7770494324,0.115141003092903
"32","Bcubed F-Score","MeanVar BinSeg",0.523612904,0.889109429,0.674766871,0.885131649,0.676462612,0.799316213,0.826760168,0.777770817,0.743085305,0.742954366,0.7538970334,0.110036307125101
"33","Precision","MeanVar PELT",0,0.142857143,0.1,0,0,0,0.125,0,0.2,0.166666667,0.073452381,0.0815532671525657
"34","Recall","MeanVar PELT",0,0.5,0.333333333,0,0,0,0.333333333,0,0.333333333,0.2,0.1699999999,0.192738548588112
"35","F1","MeanVar PELT",0,0.222222222,0.153846154,0,0,0,0.181818182,0,0.25,0.181818182,0.098970474,0.107349641838109
"36","Rand","MeanVar PELT",0.363828662,0.812268641,0.779661017,0.750282486,0.837123215,0.528813559,0.821157218,0.86938128,0.947117927,0.811864407,0.7521498412,0.173957575115639
"37","AdjRand","MeanVar PELT",-0.033083215,0.590695386,0.378254169,0.528564301,0.627783501,0.214187614,0.536777118,0.711729799,0.869205369,0.515766487,0.4939880529,0.255699583421452
"38","Bcubed Precision","MeanVar PELT",0.380760369,0.890083632,0.86440678,0.977777778,0.859582543,0.96969697,0.805488297,0.891935484,0.925806452,0.656344086,0.8221882391,0.180123600077568
