Date	Postings
01/01/2017	148
02/01/2017	214
03/01/2017	173
04/01/2017	160
05/01/2017	301
06/01/2017	577
07/01/2017	114
08/01/2017	197
09/01/2017	408
10/01/2017	486
11/01/2017	360
12/01/2017	276
13/01/2017	420
14/01/2017	169
15/01/2017	111
16/01/2017	255
17/01/2017	431
18/01/2017	362
19/01/2017	365
20/01/2017	238
21/01/2017	352
22/01/2017	254
23/01/2017	291
24/01/2017	216
25/01/2017	459
26/01/2017	284
27/01/2017	265
28/01/2017	131
29/01/2017	124
30/01/2017	197
31/01/2017	170
01/02/2017	293
02/02/2017	899
03/02/2017	316
04/02/2017	117
05/02/2017	99
06/02/2017	160
07/02/2017	164
08/02/2017	672
09/02/2017	224
10/02/2017	191
11/02/2017	83
12/02/2017	63
13/02/2017	206
14/02/2017	180
15/02/2017	286
16/02/2017	517
17/02/2017	306
18/02/2017	297
19/02/2017	150
20/02/2017	324
21/02/2017	382
22/02/2017	362
23/02/2017	393
24/02/2017	406
25/02/2017	247
26/02/2017	74
27/02/2017	208
28/02/2017	183
