Date,Postings
20-03-2017,555
21-03-2017,747
22-03-2017,623
23-03-2017,418
24-03-2017,587
25-03-2017,432
26-03-2017,382
27-03-2017,767
28-03-2017,735
29-03-2017,706
30-03-2017,414
31-03-2017,754
01-04-2017,527
02-04-2017,532
03-04-2017,653
04-04-2017,716
05-04-2017,662
06-04-2017,882
07-04-2017,777
08-04-2017,513
09-04-2017,519
10-04-2017,872
11-04-2017,1242
12-04-2017,1401
13-04-2017,2382
14-04-2017,1582
15-04-2017,980
16-04-2017,747
17-04-2017,379
18-04-2017,649
19-04-2017,581
20-04-2017,673
21-04-2017,1202
22-04-2017,635
23-04-2017,395
24-04-2017,2175
25-04-2017,960
26-04-2017,832
27-04-2017,572
28-04-2017,536
29-04-2017,555
30-04-2017,483
01-05-2017,870
02-05-2017,781
03-05-2017,578
04-05-2017,498
05-05-2017,593
06-05-2017,446
07-05-2017,454
08-05-2017,530
09-05-2017,409
10-05-2017,555
11-05-2017,475
12-05-2017,425
13-05-2017,520
14-05-2017,294
15-05-2017,508
16-05-2017,805
17-05-2017,653
18-05-2017,633
19-05-2017,997
20-05-2017,1121
