Date,Postings
01-02-2017,224
02-02-2017,192
03-02-2017,158
04-02-2017,83
05-02-2017,55
06-02-2017,176
07-02-2017,183
08-02-2017,190
09-02-2017,156
10-02-2017,171
11-02-2017,116
12-02-2017,137
13-02-2017,602
14-02-2017,212
15-02-2017,327
16-02-2017,266
17-02-2017,257
18-02-2017,130
19-02-2017,42
20-02-2017,210
21-02-2017,272
22-02-2017,320
23-02-2017,273
24-02-2017,156
25-02-2017,89
26-02-2017,58
27-02-2017,143
28-02-2017,186
01-03-2017,226
02-03-2017,185
03-03-2017,167
04-03-2017,87
05-03-2017,71
06-03-2017,197
07-03-2017,222
08-03-2017,220
09-03-2017,209
10-03-2017,140
11-03-2017,70
12-03-2017,106
13-03-2017,265
14-03-2017,152
15-03-2017,204
16-03-2017,113
17-03-2017,161
18-03-2017,80
19-03-2017,80
20-03-2017,214
21-03-2017,203
22-03-2017,251
23-03-2017,204
24-03-2017,201
25-03-2017,60
26-03-2017,40
27-03-2017,183
28-03-2017,196
29-03-2017,220
30-03-2017,131
31-03-2017,118
01-04-2017,76
