Date,Postings
01-01-2017,111
02-01-2017,290
03-01-2017,401
04-01-2017,260
05-01-2017,194
06-01-2017,369
07-01-2017,157
08-01-2017,136
09-01-2017,344
10-01-2017,307
11-01-2017,573
12-01-2017,385
13-01-2017,379
14-01-2017,168
15-01-2017,152
16-01-2017,318
17-01-2017,527
18-01-2017,335
19-01-2017,441
20-01-2017,350
21-01-2017,153
22-01-2017,182
23-01-2017,324
24-01-2017,329
25-01-2017,327
26-01-2017,509
27-01-2017,515
28-01-2017,187
29-01-2017,161
30-01-2017,416
31-01-2017,281
01-02-2017,271
02-02-2017,1420
03-02-2017,1227
04-02-2017,386
05-02-2017,238
06-02-2017,280
07-02-2017,311
08-02-2017,841
09-02-2017,1195
10-02-2017,509
11-02-2017,223
12-02-2017,137
13-02-2017,329
14-02-2017,405
15-02-2017,481
16-02-2017,662
17-02-2017,476
18-02-2017,225
19-02-2017,216
20-02-2017,348
21-02-2017,386
22-02-2017,515
23-02-2017,411
24-02-2017,368
25-02-2017,155
26-02-2017,75
27-02-2017,269
28-02-2017,283
