Date,Postings
01-05-2017,767
02-05-2017,545
03-05-2017,683
04-05-2017,606
05-05-2017,532
06-05-2017,273
07-05-2017,244
08-05-2017,573
09-05-2017,517
10-05-2017,429
11-05-2017,502
12-05-2017,467
13-05-2017,298
14-05-2017,325
15-05-2017,1717
16-05-2017,995
17-05-2017,1275
18-05-2017,949
19-05-2017,802
20-05-2017,594
21-05-2017,387
22-05-2017,845
23-05-2017,719
24-05-2017,640
25-05-2017,187
26-05-2017,709
27-05-2017,400
28-05-2017,301
29-05-2017,617
30-05-2017,900
31-05-2017,1310
01-06-2017,1211
02-06-2017,689
03-06-2017,399
04-06-2017,215
05-06-2017,197
06-06-2017,784
07-06-2017,684
08-06-2017,846
09-06-2017,684
10-06-2017,624
11-06-2017,325
12-06-2017,679
13-06-2017,522
14-06-2017,460
15-06-2017,652
16-06-2017,703
17-06-2017,411
18-06-2017,301
19-06-2017,721
20-06-2017,697
21-06-2017,509
22-06-2017,622
23-06-2017,544
24-06-2017,443
25-06-2017,371
26-06-2017,621
27-06-2017,605
28-06-2017,639
29-06-2017,592
30-06-2017,763
01-07-2017,379
