"","Precision","Recall","F1","Rand","adjRand","BCubed.Precision","BCubed.Recall","BCubed.FScore","Distance"
"Precision",0,0,NA,0.816440881763527,-0.0035058503878347,0.82004008016,0.996008888889,0.899499102728,500
"Precision449",0,0,NA,0.813258517034068,-0.00688423195600134,0.820080321285,0.992035555556,0.897899353484,499
"Precision448",0,0,NA,0.810092184368737,-0.0101408777088585,0.820120724346,0.98808,0.896299702131,498
"Precision447",0,0,NA,0.806941883767535,-0.013281175434615,0.820161290323,0.984142222222,0.894700197862,497
"Precision446",0,0,NA,0.803807615230461,-0.0163101932466642,0.820202020202,0.980222222222,0.8931008903,496
"Precision445",0,0,NA,0.800689378757515,-0.0192327028897364,0.82024291498,0.97632,0.891501829494,495
"Precision444",0,0,NA,0.797587174348697,-0.0220532010357573,0.820283975659,0.972435555556,0.889903065922,494
"Precision443",0,0,NA,0.794501002004008,-0.0247759287688841,0.820325203252,0.968568888889,0.88830465049,493
"Precision442",0,0,NA,0.791430861723447,-0.0274048894367972,0.820366598778,0.96472,0.88670663453,492
"Precision441",0,0,NA,0.788376753507014,-0.0299438650258789,0.820408163265,0.960888888889,0.885109069801,491
"Precision440",0,0,NA,0.785338677354709,-0.0323964312007332,0.820449897751,0.957075555556,0.883512008489,490
"Precision439",0,0,NA,0.782316633266533,-0.0347659711334315,0.820491803279,0.95328,0.881915503205,489
"Precision438",0,0,NA,0.779310621242485,-0.0370556882346002,0.820533880903,0.949502222222,0.880319606985,488
"Precision437",0,0,NA,0.776320641282565,-0.0392686178867619,0.820576131687,0.945742222222,0.878724373289,487
"Precision436",0,0,NA,0.773346693386774,-0.0414076382699583,0.820618556701,0.942,0.877129856001,486
"Precision435",0,0,NA,0.77038877755511,-0.0434754803605473,0.820661157025,0.938275555556,0.875536109427,485
"Precision434",0,0,NA,0.767446893787575,-0.045474737175908,0.820703933747,0.934568888889,0.873943188293,484
"Precision433",0,0,NA,0.764521042084168,-0.0474078723305746,0.820746887967,0.93088,0.872351147746,483
"Precision432",0,0,NA,0.76161122244489,-0.0492772279628962,0.82079002079,0.927208888889,0.870760043354,482
"Precision431",0,0,NA,0.758717434869739,-0.0510850320855993,0.820833333333,0.923555555556,0.869169931102,481
"Precision430",0,0,NA,0.755839679358717,-0.0528334054084829,0.820876826722,0.91992,0.86758086739,480
"Precision429",0,0,NA,0.752977955911824,-0.0545243676769822,0.820920502092,0.916302222222,0.865992909034,479
"Precision428",0,0,NA,0.750132264529058,-0.0561598435661677,0.820964360587,0.912702222222,0.864406113266,478
"Precision427",0,0,NA,0.747302605210421,-0.0577416681661533,0.821008403361,0.90912,0.862820537729,477
"Precision426",0,0,NA,0.744488977955912,-0.0592715920915708,0.821052631579,0.905555555556,0.861236240474,476
