"","Precision","Recall","F1","Rand","adjRand","BCubed.Precision","BCubed.Recall","BCubed.FScore","Distance"
"Precision",0,0,NA,0.992031936127745,0.496486468523229,0.997338656021,0.992047904192,0.994686244758,500
"Precision499",0,0,NA,0.992031936127745,0.662189490228714,0.996007984032,0.992047968192,0.994024032127,499
"Precision498",0,0,NA,0.992031936127745,0.745072361601576,0.995209580838,0.992048032449,0.993626291774,498
"Precision497",0,0,NA,0.992031936127745,0.794807216340608,0.994677312043,0.992048096965,0.993360964764,497
"Precision496",0,0,NA,0.992031936127745,0.827962488846076,0.994297120046,0.992048161741,0.993171367748,496
"Precision495",0,0,NA,0.992031936127745,0.851641646345645,0.994011976048,0.992048226779,0.993029130569,495
"Precision494",0,0,NA,0.992031936127745,0.869397311905079,0.993790197383,0.99204829208,0.992918480763,494
"Precision493",0,0,NA,0.992031936127745,0.883203516481479,0.993612774451,0.992048357646,0.99282994978,493
"Precision492",0,0,NA,0.992031936127745,0.894244836838843,0.993467610234,0.992048423478,0.99275750966,492
"Precision491",0,0,NA,0.992031936127745,0.903275173003878,0.993346640053,0.992048489579,0.992697140418,491
"Precision490",0,0,NA,0.992031936127745,0.910797166946653,0.993244280669,0.992048555949,0.992646058222,490
"Precision489",0,0,NA,0.992031936127745,0.917158825402667,0.993156544055,0.992048622591,0.992602274164,489
"Precision488",0,0,NA,0.992031936127745,0.922608738840708,0.993080505655,0.992048689506,0.992564329426,488
"Precision487",0,0,NA,0.992031936127745,0.927329215794106,0.993013972056,0.992048756696,0.992531129713,487
"Precision486",0,0,NA,0.992031936127745,0.931456993373883,0.992955265939,0.992048824162,0.99250183809,486
"Precision485",0,0,NA,0.992031936127745,0.935096639050643,0.992903082723,0.992048891907,0.992475803522,485
"Precision484",0,0,NA,0.992031936127745,0.938329485673175,0.992856392478,0.992048959931,0.992452511978,484
"Precision483",0,0,NA,0.992031936127745,0.941219745199837,0.992814371257,0.992049028238,0.992431552193,483
"Precision482",0,0,NA,0.992031936127745,0.94381878849434,0.992776352058,0.992049096827,0.992412591207,482
"Precision481",0,0,NA,0.992031936127745,0.946168202439445,0.992741789149,0.992049165702,0.992395356575,481
"Precision480",0,0,NA,0.992031936127745,0.948302013368359,0.99271023171,0.992049234864,0.992379623219,480
"Precision479",0,0,NA,0.992031936127745,0.950248330521127,0.992681304059,0.992049304314,0.992365203562,479
"Precision478",0,0,NA,0.992031936127745,0.952030578671259,0.992654690619,0.992049374055,0.992351940029,478
"Precision477",0,0,NA,0.992031936127745,0.953668434945719,0.992630124367,0.992049444089,0.99233969928,477
"Precision476",0,0,NA,0.992031936127745,0.955178549472376,0.992607377837,0.992049514417,0.992328367722,476
"Precision475",0,0,NA,0.992031936127745,0.956575105895502,0.992586256059,0.99204958504,0.992317847989,475
"Precision474",0,0,NA,0.992031936127745,0.95787026178943,0.992566590956,0.992049655962,0.992308056136,474
"Precision473",0,0,NA,0.992031936127745,0.959074497958474,0.99254823686,0.992049727184,0.992298919412,473
"Precision472",0,0,NA,0.992031936127745,0.960196897881561,0.992531066898,0.992049798708,0.992290374448,472
"Precision471",0,0,NA,0.992031936127745,0.961245373074335,0.99251497006,0.992049870535,0.992282365797,471
"Precision470",0,0,NA,0.992031936127745,0.962226846198531,0.992499848787,0.992049942668,0.99227484473,470
"Precision469",0,0,NA,0.992031936127745,0.963147400880803,0.992485617001,0.992050015108,0.992267768248,469
"Precision468",0,0,NA,0.992031936127745,0.964012405094503,0.99247219846,0.992050087858,0.992261098268,468
"Precision467",0,0,NA,0.992031936127745,0.964826613391548,0.992459525394,0.99205016092,0.992254800935,467
"Precision466",0,0,NA,0.992031936127745,0.965594252096613,0.992447537358,0.992050234295,0.992248846056,466
"Precision465",0,0,NA,0.992031936127745,0.966319090686825,0.992436180271,0.992050307986,0.992243206613,465
"Precision464",0,0,NA,0.992031936127745,0.967004501901595,0.992425405599,0.992050381995,0.992237858361,464
"Precision463",0,0,NA,0.992031936127745,0.967653512605288,0.992415169661,0.992050456323,0.992232779477,463
"Precision462",0,0,NA,0.992031936127745,0.968268847020895,0.992405433036,0.992050530973,0.992227950269,462
"Precision461",0,0,NA,0.992031936127745,0.968852963637165,0.992396160061,0.992050605946,0.992223352918,461
"Precision460",0,0,NA,0.992031936127745,0.969408086843554,0.992387318386,0.992050681246,0.992218971263,460
"Precision459",0,0,NA,0.992031936127745,0.969936234151237,0.992378878606,0.992050756874,0.992214790613,459
"Precision458",0,0,NA,0.992031936127745,0.970439239702339,0.992370813928,0.992050832832,0.992210797582,458
"Precision457",0,0,NA,0.992031936127745,0.970918774644779,0.992363099887,0.992050909123,0.992206979948,457
"Precision456",0,0,NA,0.992031936127745,0.971376364849653,0.992355714104,0.992050985748,0.992203326528,456
"Precision455",0,0,NA,0.992031936127745,0.971813406366939,0.992348636061,0.99205106271,0.992199827074,455
"Precision454",0,0,NA,0.992031936127745,0.97223117894935,0.992341846918,0.992051140011,0.992196472171,454
"Precision453",0,0,NA,0.992031936127745,0.972630857920281,0.992335329341,0.992051217653,0.992193253159,453
"Precision452",0,0,NA,0.992031936127745,0.97301352461769,0.992329067355,0.992051295639,0.992190162056,452
"Precision451",0,0,NA,0.992031936127745,0.973380175609341,0.992323046215,0.99205137397,0.992187191496,451
"Precision450",0,0,NA,0.992031936127745,0.973731730844823,0.992317252288,0.99205145265,0.992184334668,450
"Precision449",0,0,NA,0.992031936127745,0.974069040884742,0.99231167295,0.992051531681,0.992181585264,449
"Precision448",0,0,NA,0.992031936127745,0.974392893326722,0.992306296498,0.992051611064,0.992178937437,448
"Precision447",0,0,NA,0.992031936127745,0.974704018530429,0.992301112062,0.992051690802,0.992176385756,447
"Precision446",0,0,NA,0.992031936127745,0.975003094729239,0.992296109535,0.992051770898,0.992173925173,446
"Precision445",0,0,NA,0.992031936127745,0.97529075260387,0.99229127951,0.992051851353,0.992171550987,445
